iter	Passed	Remaining
0	62	62759
1	63	31647
2	64	21395
3	65	16293
4	65	13133
5	66	11034
6	67	9528
7	67	8407
8	68	7548
9	69	6848
10	69	6275
11	70	5787
12	70	5381
13	71	5032
14	71	4727
15	72	4456
16	72	4220
17	73	4015
18	74	3826
19	74	3655
20	75	3504
21	75	3366
22	76	3240
23	76	3128
24	77	3035
25	78	2940
26	78	2846
27	79	2759
28	79	2675
29	80	2601
30	80	2528
31	81	2461
32	81	2398
33	82	2344
34	82	2287
35	83	2236
36	84	2191
37	85	2155
38	85	2115
39	86	2081
40	87	2044
41	88	2011
42	88	1976
43	89	1942
44	89	1909
45	90	1877
46	91	1846
47	91	1817
48	92	1790
49	92	1763
50	93	1736
51	93	1712
52	94	1689
53	95	1665
54	95	1642
55	96	1619
56	96	1596
57	97	1575
58	97	1554
59	98	1535
60	98	1517
61	99	1499
62	99	1482
63	100	1465
64	100	1451
65	102	1449
66	103	1436
67	103	1421
68	104	1407
69	104	1393
70	105	1379
71	106	1366
72	106	1353
73	107	1339
74	107	1326
75	107	1312
76	108	1299
77	108	1288
78	109	1276
79	110	1265
80	110	1254
81	111	1243
82	111	1230
83	111	1220
84	112	1210
85	113	1201
86	113	1191
87	114	1182
88	114	1173
89	115	1164
90	115	1155
91	116	1148
92	117	1142
93	117	1135
94	118	1128
95	119	1121
96	119	1114
97	120	1106
98	120	1099
99	121	1092
100	121	1085
101	122	1078
102	122	1070
103	123	1063
104	123	1056
105	124	1050
106	125	1044
107	125	1038
108	126	1033
109	126	1027
110	127	1021
111	128	1015
112	128	1010
113	129	1004
114	129	998
115	130	992
116	130	985
117	131	985
118	132	980
119	133	976
120	133	970
121	134	965
122	134	959
123	135	953
124	135	948
125	135	942
126	136	936
127	136	930
128	137	925
129	137	920
130	137	915
131	138	909
132	138	904
133	139	899
134	139	894
135	140	889
136	140	884
137	140	880
138	141	875
139	141	870
140	142	865
141	142	860
142	142	855
143	143	851
144	143	847
145	144	842
146	144	838
147	144	833
148	145	829
149	145	825
150	146	821
151	146	817
152	147	814
153	147	811
154	148	808
155	148	805
156	149	802
157	149	799
158	150	795
159	150	792
160	151	787
161	151	784
162	152	781
163	152	777
164	152	774
165	153	770
166	153	767
167	154	763
168	154	760
169	155	757
170	155	754
171	156	751
172	156	749
173	157	745
174	157	743
175	158	740
176	158	737
177	159	734
178	159	731
179	159	728
180	160	725
181	160	722
182	161	719
183	161	716
184	161	713
185	162	711
186	163	710
187	163	707
188	164	705
189	164	702
190	165	700
191	165	697
192	166	695
193	166	692
194	167	690
195	167	687
196	168	685
197	168	682
198	168	679
199	169	677
200	169	674
201	170	672
202	170	669
203	171	667
204	171	665
205	171	662
206	172	660
207	172	657
208	173	655
209	173	653
210	174	651
211	174	648
212	175	646
213	175	644
214	175	642
215	176	639
216	176	637
217	177	635
218	177	633
219	177	630
220	178	629
221	179	627
222	179	625
223	180	624
224	180	622
225	181	620
226	181	618
227	182	616
228	182	614
229	182	612
230	183	610
231	183	608
232	184	606
233	184	604
234	185	602
235	185	601
236	186	599
237	186	597
238	186	595
239	187	593
240	187	591
241	188	589
242	188	587
243	189	586
244	189	584
245	190	582
246	190	580
247	190	578
248	191	576
249	191	574
250	191	572
251	192	570
252	192	569
253	193	567
254	193	565
255	194	564
256	194	562
257	195	561
258	195	559
259	196	558
260	196	556
261	197	555
262	197	553
263	198	552
264	198	550
265	198	548
266	199	546
267	199	545
268	200	543
269	200	542
270	200	540
271	201	539
272	201	537
273	202	535
274	202	534
275	203	532
276	203	531
277	203	529
278	204	528
279	204	526
280	205	525
281	205	523
282	206	521
283	206	520
284	206	518
285	207	517
286	207	515
287	208	514
288	208	512
289	209	511
290	209	510
291	210	509
292	210	508
293	211	507
294	211	505
295	212	504
296	212	502
297	212	501
298	213	500
299	213	498
300	214	497
301	214	495
302	215	494
303	215	493
304	215	491
305	216	490
306	216	489
307	217	487
308	217	486
309	217	485
310	218	483
311	218	482
312	219	480
313	219	479
314	219	478
315	220	476
316	220	475
317	221	474
318	221	472
319	221	471
320	222	470
321	222	468
322	223	467
323	223	466
324	223	465
325	224	463
326	224	462
327	226	463
328	226	461
329	226	460
330	227	459
331	227	458
332	228	456
333	228	455
334	228	454
335	229	453
336	229	452
337	230	450
338	230	449
339	231	448
340	231	447
341	231	446
342	232	444
343	232	443
344	233	442
345	233	441
346	233	440
347	234	439
348	234	437
349	235	436
350	235	435
351	235	434
352	236	433
353	236	431
354	237	430
355	237	429
356	237	428
357	238	427
358	238	426
359	239	424
360	239	423
361	239	422
362	240	421
363	240	420
364	241	419
365	241	418
366	242	417
367	242	416
368	242	415
369	243	414
370	243	413
371	244	412
372	244	411
373	245	410
374	245	409
375	246	408
376	246	407
377	246	406
378	247	405
379	247	404
380	248	403
381	248	402
382	248	401
383	249	399
384	249	398
385	250	397
386	250	396
387	250	395
388	251	394
389	251	393
390	252	392
391	252	391
392	252	390
393	253	389
394	253	388
395	254	387
396	254	386
397	254	385
398	255	384
399	255	383
400	256	382
401	256	381
402	257	380
403	257	379
404	257	378
405	258	377
406	258	376
407	259	375
408	259	374
409	259	374
410	260	373
411	260	372
412	261	371
413	261	370
414	262	369
415	262	368
416	262	367
417	263	366
418	263	365
419	264	364
420	264	363
421	265	363
422	265	362
423	265	361
424	266	360
425	266	359
426	267	358
427	267	357
428	267	356
429	268	355
430	268	354
431	269	353
432	269	353
433	270	352
434	270	351
435	270	350
436	271	349
437	271	348
438	272	347
439	272	346
440	272	345
441	273	345
442	273	344
443	274	343
444	274	342
445	275	341
446	275	340
447	275	339
448	276	339
449	276	338
450	277	337
451	277	336
452	277	335
453	278	334
454	278	333
455	279	333
456	279	332
457	280	331
458	280	330
459	280	329
460	281	328
461	281	328
462	282	327
463	282	326
464	283	325
465	283	324
466	283	324
467	284	323
468	284	322
469	285	321
470	285	320
471	286	319
472	286	319
473	286	318
474	287	317
475	287	316
476	288	315
477	288	315
478	288	314
479	289	313
480	289	312
481	290	311
482	290	311
483	290	310
484	291	309
485	291	308
486	292	307
487	292	307
488	293	306
489	293	305
490	294	304
491	294	304
492	294	303
493	295	302
494	295	301
495	296	300
496	296	300
497	297	299
498	297	298
499	297	297
500	298	297
501	298	296
502	299	295
503	299	294
504	299	293
505	300	293
506	300	292
507	301	291
508	301	290
509	301	290
510	302	289
511	302	288
512	303	287
513	303	287
514	304	286
515	304	285
516	304	284
517	305	284
518	305	283
519	306	282
520	306	281
521	307	281
522	307	280
523	307	279
524	308	278
525	308	278
526	309	277
527	309	276
528	309	275
529	310	275
530	310	274
531	311	273
532	311	272
533	312	272
534	313	272
535	313	271
536	313	270
537	314	269
538	314	269
539	315	268
540	315	267
541	315	267
542	316	266
543	316	265
544	317	264
545	317	264
546	318	263
547	318	262
548	318	262
549	319	261
550	319	260
551	320	260
552	320	259
553	321	258
554	321	257
555	322	257
556	322	256
557	322	255
558	323	255
559	323	254
560	324	253
561	324	253
562	325	252
563	325	251
564	325	250
565	326	250
566	326	249
567	327	248
568	327	248
569	328	247
570	328	246
571	328	246
572	329	245
573	329	244
574	330	244
575	330	243
576	331	242
577	331	242
578	331	241
579	332	240
580	332	239
581	333	239
582	333	238
583	333	237
584	334	237
585	335	236
586	335	236
587	336	235
588	336	234
589	336	234
590	337	233
591	337	232
592	338	232
593	338	231
594	339	230
595	339	230
596	339	229
597	340	228
598	340	228
599	341	227
600	341	226
601	341	226
602	342	225
603	342	224
604	343	224
605	343	223
606	344	222
607	344	222
608	344	221
609	345	220
610	345	220
611	346	219
612	346	218
613	346	218
614	347	217
615	347	216
616	348	216
617	348	215
618	348	214
619	349	214
620	349	213
621	350	212
622	350	212
623	351	211
624	351	211
625	352	210
626	352	209
627	353	209
628	353	208
629	353	207
630	354	207
631	354	206
632	355	205
633	355	205
634	356	204
635	356	204
636	356	203
637	357	202
638	357	202
639	358	201
640	358	200
641	358	200
642	359	199
643	359	198
644	360	198
645	360	197
646	360	196
647	361	196
648	361	195
649	362	195
650	362	194
651	363	193
652	363	193
653	363	192
654	364	191
655	364	191
656	365	190
657	365	190
658	366	189
659	366	188
660	367	188
661	367	187
662	367	186
663	368	186
664	368	185
665	369	185
666	369	184
667	370	183
668	370	183
669	370	182
670	371	182
671	371	181
672	372	180
673	372	180
674	372	179
675	373	178
676	373	178
677	374	177
678	374	177
679	374	176
680	375	175
681	375	175
682	376	174
683	376	174
684	377	173
685	377	172
686	377	172
687	378	171
688	378	170
689	379	170
690	379	169
691	379	169
692	380	168
693	380	167
694	381	167
695	381	166
696	382	166
697	382	165
698	383	164
699	383	164
700	384	163
701	384	163
702	385	162
703	385	162
704	385	161
705	386	160
706	386	160
707	387	159
708	387	159
709	387	158
710	388	157
711	388	157
712	389	156
713	389	156
714	389	155
715	390	154
716	390	154
717	391	153
718	391	153
719	392	152
720	392	151
721	392	151
722	393	150
723	393	150
724	394	149
725	394	148
726	394	148
727	395	147
728	395	147
729	396	146
730	396	145
731	396	145
732	397	144
733	397	144
734	398	143
735	398	143
736	399	142
737	400	142
738	400	141
739	401	140
740	401	140
741	401	139
742	402	139
743	402	138
744	403	138
745	403	137
746	404	136
747	405	136
748	405	135
749	406	135
750	406	134
751	406	134
752	407	133
753	407	133
754	408	132
755	408	131
756	408	131
757	409	130
758	409	130
759	410	129
760	410	128
761	410	128
762	411	127
763	411	127
764	412	126
765	412	126
766	413	125
767	413	124
768	413	124
769	414	123
770	414	123
771	415	122
772	415	122
773	416	121
774	416	121
775	417	120
776	417	119
777	418	119
778	418	118
779	419	118
780	419	117
781	419	117
782	420	116
783	420	115
784	421	115
785	421	114
786	421	114
787	422	113
788	422	113
789	423	112
790	423	111
791	424	111
792	424	110
793	424	110
794	425	109
795	425	109
796	426	108
797	426	107
798	426	107
799	427	106
800	427	106
801	428	105
802	428	105
803	429	104
804	429	104
805	430	103
806	430	103
807	431	102
808	431	101
809	432	101
810	432	100
811	432	100
812	433	99
813	433	99
814	434	98
815	434	97
816	435	97
817	435	96
818	435	96
819	436	95
820	436	95
821	437	94
822	437	94
823	438	93
824	438	92
825	438	92
826	439	91
827	439	91
828	440	90
829	440	90
830	440	89
831	441	89
832	441	88
833	442	88
834	442	87
835	442	86
836	443	86
837	443	85
838	444	85
839	444	84
840	445	84
841	445	83
842	446	83
843	446	82
844	447	82
845	447	81
846	448	80
847	448	80
848	449	79
849	449	79
850	450	78
851	450	78
852	450	77
853	451	77
854	451	76
855	452	76
856	452	75
857	452	74
858	453	74
859	453	73
860	454	73
861	454	72
862	455	72
863	455	71
864	455	71
865	456	70
866	456	70
867	457	69
868	457	68
869	457	68
870	458	67
871	458	67
872	459	66
873	459	66
874	460	65
875	460	65
876	461	64
877	461	64
878	462	63
879	462	63
880	463	62
881	463	62
882	464	61
883	464	60
884	465	60
885	465	59
886	465	59
887	466	58
888	466	58
889	467	57
890	467	57
891	468	56
892	468	56
893	468	55
894	469	55
895	469	54
896	470	54
897	470	53
898	471	52
899	471	52
900	471	51
901	472	51
902	472	50
903	473	50
904	473	49
905	473	49
906	474	48
907	474	48
908	475	47
909	475	47
910	476	46
911	476	46
912	477	45
913	477	44
914	478	44
915	478	43
916	479	43
917	479	42
918	480	42
919	480	41
920	480	41
921	481	40
922	481	40
923	482	39
924	482	39
925	483	38
926	483	38
927	483	37
928	484	37
929	484	36
930	485	35
931	485	35
932	486	34
933	486	34
934	486	33
935	487	33
936	487	32
937	488	32
938	488	31
939	489	31
940	489	30
941	489	30
942	490	29
943	490	29
944	491	28
945	491	28
946	492	27
947	492	27
948	493	26
